n_sensors,msg_p_s,p_extra,p_missing,p_wrong,avg_ips,avg_ops,avg_batch_duration
1,100,0.0,0.0,0.0,110.33355494209131,98.02630837651446,15675.45945945946
10,100,0.0,0.0,0.0,102.38099517663954,94.25865006688612,16061.305555555555
100,100,0.0,0.0,0.0,115.78433260381333,74.23669156739071,38051.42857142857
1000,100,0.0,0.0,0.0,112.13310278908533,64.33049804390608,50457.181818181816
