n_sensors,msg_p_s,p_extra,p_missing,p_wrong,avg_ips,avg_ops,avg_batch_duration
10,1,0.0,0.0,0.0,0.9689457261915024,0.9454660374308175,20548.5
10,10,0.0,0.0,0.0,13.502410102702079,9.106012482284578,22584.5
10,100,0.0,0.0,0.0,104.59367264990993,97.94410904030292,20079.103448275862
10,250,0.0,0.0,0.0,254.34628875750622,257.9829014689799,21019.16
10,500,0.0,0.0,0.0,525.9763821111017,435.16778535025344,26603.85714285714
10,750,0.0,0.0,0.0,737.0722590903563,652.2035932009082,31816.0
10,1000,0.0,0.0,0.0,984.4500520852803,843.3551868544012,25698.909090909092
10,1250,0.0,0.0,0.0,1167.2451700442518,1002.8552839831435,26511.272727272728
